software_manufacturer,domain,category,tool,platform,proficiency_level,proficiency_description,product_type,icons
Plotly Inc.,Data Analytics,Visualization,Plotly,Python,9,I have significant hands-on experience with this.,Open Source,icons/tool_300/plotly_300x300.png
Plotly Inc.,Web Development,Framework,Dash,Python,5,I have a moderate understanding of this.,Open Source,icons/tool_300/plotly_300x300.png
Python Community,Data Analytics,Visualization,Seaborn,Python,4,I have some experience using this.,Open Source,icons/tool_300/python_300x300.png
Python Community,Data Analytics,Visualization,Matplotlib,Python,6,I have a solid grasp and can apply this knowledge.,Open Source,icons/tool_300/python_300x300.png
Python Community,Data Analytics,Analysis,Pandas,Python,9,I have significant hands-on experience with this.,Open Source,icons/tool_300/python_300x300.png
Python Community,Data Analytics,Analysis,Numpy,Python,4,I have some experience using this.,Open Source,icons/tool_300/python_300x300.png
Explosion AI,Data Analytics,Analysis,spaCy,Python,3,I can understand the fundamental concepts.,Open Source,icons/tool_300/explosion_ai_300x300.png
Oracle Corporation,Data Engineering,DB Management,MySQL,RDBMS,4,I have some experience using this.,Open Source,icons/tool_300/oracle_300x300.png
SQLite Consortium,Data Engineering,DB Management,SQLite,RDBMS,5,I have a moderate understanding of this.,Open Source,icons/tool_300/sqlite_consortium_300x300.png
Google,Data Engineering,Analysis,BigQuery,Cloud Platform,8,I can tackle complex tasks using this.,PaaS,icons/tool_300/google_300x300.png
Django Foundation,Web Development,Framework,Django,Python,7,I am confident in using this independently.,Open Source,icons/tool_300/django_300x129.png
Streamlit Inc.,Web Development,Framework,Streamlit,Python,8,I can tackle complex tasks using this.,SaaS,icons/tool_300/streamlit_300x143.png
Python Community,Web Development,Framework,Pipenv,Python,7,I am confident in using this independently.,Open Source,icons/tool_300/python_300x300.png
Microsoft,Web Development,Framework,Powershell,.NET,7,I am confident in using this independently.,IaaS,icons/tool_300/microsoft_300x300.png
Google,Business Intelligence,Productivity Tools,Sheets,Workspace,10,I am an expert in using this.,SaaS,icons/tool_300/google_300x300.png
Google,Business Intelligence,Productivity Tools,Docs,Workspace,10,I am an expert in using this.,SaaS,icons/tool_300/google_300x300.png
Google,Business Intelligence,Productivity Tools,Slides,Workspace,10,I am an expert in using this.,SaaS,icons/tool_300/google_300x300.png
Google,Business Intelligence,Productivity Tools,AppScript,Workspace,10,I am an expert in using this.,SaaS,icons/tool_300/google_300x300.png
Google,Digital Marketing,Performance Optimization,Analytics 4,Marketing Platform,9,I have significant hands-on experience with this.,SaaS,icons/tool_300/google_300x300.png
Google,Digital Marketing,Tag Management,Tag Manager,Marketing Platform,9,I have significant hands-on experience with this.,SaaS,icons/tool_300/google_300x300.png
Google,Digital Marketing,Debugging,Chrome Developer Tools,Workspace,8,I can tackle complex tasks using this.,SaaS,icons/tool_300/google_300x300.png
Django Foundation,Web Development,Debugging,Django Debug Tools,Python,5,I have a moderate understanding of this.,Open Source,icons/tool_300/django_300x129.png
Google,Digital Marketing,Debugging,Analytics Debugger,Marketing Platform,10,I am an expert in using this.,SaaS,icons/tool_300/google_300x300.png
Microsoft,Business Intelligence,Analysis,Power BI,.NET,6,I have a solid grasp and can apply this knowledge.,SaaS,icons/tool_300/microsoft_300x300.png
Microsoft,Business Intelligence,Analysis,Excel,.NET,8,I can tackle complex tasks using this.,SaaS,icons/tool_300/microsoft_300x300.png
Salesforce,Business Intelligence,Analysis,Tableau,Python,6,I have a solid grasp and can apply this knowledge.,SaaS,icons/tool_300/salesforce_300x210.png
Bootstrap,Web Development,Framework,Bootstrap,HTML,6,I have a solid grasp and can apply this knowledge.,Open Source,icons/tool_300/bootstrap_300x239.png
Siemens,Computer Aided Design,Product Design,Siemens NX,Python,9,I have significant hands-on experience with this.,Commercial,icons/tool_300/siemens_300x213.png
Autodesk,Finite Element Method,Product Design,Autodesk Fusion,Python,10,I am an expert in using this.,Commercial,icons/tool_300/autodesk_300x64.png
Ansys,Computational Fluid Dynamics,Mechanical Analysis,Ansys Workbench,Python,7,I am confident in using this independently.,Commercial,icons/tool_300/ansys_300x95.png
